GBD_Specimen_ID,BirdLife_name,Jetz_taxo,"Source (Museum, Field)",Specimen_Ring.Number,Collector,Sex,Juv,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Subspecies,Measurer,Publication
Sporophila nigricollis_12,Sporophila nigricollis,Sporophila nigricollis,UCR,NA,,F,,NA,6.4,5.3,6.7,,AC,
Sporophila nigricollis_13,Sporophila nigricollis,Sporophila nigricollis,UCR,NA,,F,Immature,NA,5.3,4.8,5.7,,AC,
Sporophila nigricollis_14,Sporophila nigricollis,Sporophila nigricollis,UCR,NA,,F,,NA,6.3,4.6,6.1,,AC,
Sporophila nigricollis_15,Sporophila nigricollis,Sporophila nigricollis,UCR,NA,,M,,NA,6,3.9,5.9,,AC,
Sporophila nigricollis_16,Sporophila nigricollis,Sporophila nigricollis,UCR,NA,,M,,NA,5.5,5.2,5.7,,AC,
Sporophila nigricollis_17,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,11,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_18,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,10.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_19,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_2,Sporophila nigricollis,Sporophila nigricollis,MNCR,NA,,U,,NA,6.2,4.9,6.4,,AC,
Sporophila nigricollis_20,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,8.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_21,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,12,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_22,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_23,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,7.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_24,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,9.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_25,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,6.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_26,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,8.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_27,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,8.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_28,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,10.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_29,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,8.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_3,Sporophila nigricollis,Sporophila nigricollis,MNCR,NA,,M,Immature,NA,6.2,5.2,6.3,,AC,
Sporophila nigricollis_30,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,10.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_31,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,10.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_32,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,11,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_33,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,9.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_34,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_35,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,8.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_36,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_37,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,6.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_38,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,7.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_39,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,6.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_4,Sporophila nigricollis,Sporophila nigricollis,MNCR,NA,,M,,NA,5.9,4.6,5.7,,AC,
Sporophila nigricollis_40,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,12.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_41,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,8.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_42,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,7.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_43,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,,7.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_44,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,7.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_45,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,8.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_46,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,,9.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_47,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,8.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_48,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_49,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,8.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_5,Sporophila nigricollis,Sporophila nigricollis,MNCR,NA,,U,,NA,6,5,6.5,,AC,
Sporophila nigricollis_50,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,8.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_51,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,8.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_52,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,U,Inmature,10.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_53,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,9.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_54,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,8.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_55,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,10.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_56,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,U,,10,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_57,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,8.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_58,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,8.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_59,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_6,Sporophila nigricollis,Sporophila nigricollis,MHN-UCa,NA,,F,,10.8,NA,4.7,6.6,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_60,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,U,Inmature,10.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_61,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_62,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,9.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_63,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,10.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_64,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,10.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_65,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,U,,7.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_66,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,10.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_67,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,11,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_68,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,7.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_69,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,9.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_7,Sporophila nigricollis,Sporophila nigricollis,MPEG,48001,,M,,9.1,6,4.7,6.1,,BDK,
Sporophila nigricollis_70,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_71,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,8.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_72,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,8.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_73,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_74,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_75,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,7.3,NA,7.3,8.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_76,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,7.7,NA,5.8,6.5,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_77,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,6.6,NA,4.9,6.5,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_78,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,8.4,NA,5.6,6.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_79,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,10.8,NA,6.2,5.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_8,Sporophila nigricollis,Sporophila nigricollis,MPEG,49793,,F,,9.8,6.2,5.1,6.2,,BDK,
Sporophila nigricollis_80,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,10,NA,5.1,6.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_81,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,11.4,NA,4.5,6.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_82,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,8.4,NA,4.5,6.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_83,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,11.6,NA,6.6,7.9,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_84,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,8.1,NA,4.2,5.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_85,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,6.9,NA,3.6,5.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_86,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,8,NA,5.9,6.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_87,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,10.9,NA,5.6,6.5,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_88,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,7.9,NA,3,6.2,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_89,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,10.5,NA,4.7,7.3,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_9,Sporophila nigricollis,Sporophila nigricollis,MPEG,49799,,M,,10.2,6.4,5.2,6.4,,BDK,
Sporophila nigricollis_90,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,8.3,NA,4.4,7,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_91,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.3,NA,4.9,6.5,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_92,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,NA,NA,5.5,8,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_93,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.7,NA,5.8,7.1,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_94,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,11.8,NA,4.9,7,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_95,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,11.1,NA,4.5,7.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_96,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Adult,10.5,NA,5.1,6.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_97,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,M,Inmature,8.9,NA,4.5,6.4,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_98,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Inmature,9.9,NA,4.2,6.8,,LJCS,Cardona-Salazar et al. 2020
Sporophila nigricollis_99,Sporophila nigricollis,Sporophila nigricollis,Field sample,NA,,F,Adult,9.1,NA,4.3,6.9,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_1,Coereba flaveola,Coereba flaveola,Field sample,A06054,CATIE mist-netting stations,U,,NA,10.1,3.4,3.4,,AMS,
Coereba flaveola_10,Coereba flaveola,Coereba flaveola,FMNH,208360,,F,,NA,NA,NA,4,dispar,FAMC,
Coereba flaveola_100,Coereba flaveola,Coereba flaveola,UFPE,1835,,U,,13.2,NA,NA,4.6,,VL,
Coereba flaveola_101,Coereba flaveola,Coereba flaveola,UFPE,1837,,F,,12.1,NA,NA,4,,VL,
Coereba flaveola_102,Coereba flaveola,Coereba flaveola,UFPE,1865,,F,,11.5,NA,NA,4,,VL,
Coereba flaveola_103,Coereba flaveola,Coereba flaveola,UFPE,1908,,M,,11.7,NA,NA,4,,VL,
Coereba flaveola_104,Coereba flaveola,Coereba flaveola,UFPE,1941,,M,,11.2,NA,NA,4.8,,VL,
Coereba flaveola_105,Coereba flaveola,Coereba flaveola,UFPE,2222,,U,,11.6,NA,NA,4.2,,VL,
Coereba flaveola_106,Coereba flaveola,Coereba flaveola,UFPE,2276,,U,,12.2,NA,NA,4.2,,VL,
Coereba flaveola_107,Coereba flaveola,Coereba flaveola,UFPE,2316,,M,,11.8,NA,NA,4.7,,VL,
Coereba flaveola_108,Coereba flaveola,Coereba flaveola,UFPE,3251,,M,,12.5,NA,NA,4.2,,VL,
Coereba flaveola_109,Coereba flaveola,Coereba flaveola,UFPE,4796,,U,,11,NA,NA,4.1,,VL,
Coereba flaveola_11,Coereba flaveola,Coereba flaveola,FMNH,208361,,M,,NA,NA,NA,3.9,dispar,FAMC,
Coereba flaveola_110,Coereba flaveola,Coereba flaveola,UFPE,4867,,F,,15.2,NA,NA,NA,,VL,
Coereba flaveola_111,Coereba flaveola,Coereba flaveola,UFPE,4869,,M,,21,NA,NA,NA,,VL,
Coereba flaveola_112,Coereba flaveola,Coereba flaveola,UFPE,4972,,F,,13.8,NA,NA,3.8,,VL,
Coereba flaveola_113,Coereba flaveola,Coereba flaveola,UFPE,5006,,F,,14.8,NA,NA,NA,,VL,
Coereba flaveola_114,Coereba flaveola,Coereba flaveola,UFPE,5021,,M,,8.3,NA,NA,2.8,,VL,
Coereba flaveola_115,Coereba flaveola,Coereba flaveola,UFPE,5026,,M,,14.7,NA,NA,3.6,,VL,
Coereba flaveola_12,Coereba flaveola,Coereba flaveola,FMNH,299410,,M,,NA,NA,NA,4.1,dispar,FAMC,
Coereba flaveola_13,Coereba flaveola,Coereba flaveola,MHN-UCa,NA,,U,,13.6,NA,4.6,4.1,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_14,Coereba flaveola,Coereba flaveola,MHN-UCa,NA,,M,Adult,13.9,NA,4,3.4,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_15,Coereba flaveola,Coereba flaveola,MPEG,30819,,M,,14.2,9.5,3.3,3.7,,BDK,
Coereba flaveola_16,Coereba flaveola,Coereba flaveola,MPEG,30820,,M,,14,9.7,3.2,3.6,,BDK,
Coereba flaveola_17,Coereba flaveola,Coereba flaveola,MPEG,30822,,F,,12.8,8.5,3.2,3.4,,BDK,
Coereba flaveola_18,Coereba flaveola,Coereba flaveola,MPEG,30823,,F,,13.8,9.3,3.2,3.3,,BDK,
Coereba flaveola_19,Coereba flaveola,Coereba flaveola,NHMUK,1904.8.17.329,,M,,15,9.8,3.6,3.7,,PW,
Coereba flaveola_2,Coereba flaveola,Coereba flaveola,Field sample,A17179,CATIE mist-netting stations,U,,NA,10.2,3.7,3.6,,AMS,
Coereba flaveola_20,Coereba flaveola,Coereba flaveola,NHMUK,1915.5.1.2122,,M,,NA,NA,NA,NA,,SEIJ,
Coereba flaveola_21,Coereba flaveola,Coereba flaveola,NHMUK,1915.5.1.2127,,F,,NA,NA,NA,NA,,SEIJ,
Coereba flaveola_22,Coereba flaveola,Coereba flaveola,NHMUK,1915.5.1.423,,F,,NA,NA,NA,NA,,SEIJ,
Coereba flaveola_23,Coereba flaveola,Coereba flaveola,NHMUK,1915.5.1.424,,M,,NA,NA,NA,NA,,SEIJ,
Coereba flaveola_24,Coereba flaveola,Coereba flaveola,NHMUK,1915.5.1.425,,M,,14.2,9.5,3.6,3.6,,PW,
Coereba flaveola_25,Coereba flaveola,Coereba flaveola,NHMUK,85.4.1.314,,M,,14.8,9.8,3.4,3.7,,PW,
Coereba flaveola_26,Coereba flaveola,Coereba flaveola,NHMUK,85.4.1.315,,M,,14.5,9.3,3.4,3.3,,PW,
Coereba flaveola_27,Coereba flaveola,Coereba flaveola,NHMUK,94.7.1.87,,M,,14.4,9.7,3.1,3.7,,PW,
Coereba flaveola_28,Coereba flaveola,Coereba flaveola,NHMUK,98.12.14.228,,M,,14.9,10.6,3.4,3.4,,PW,
Coereba flaveola_29,Coereba flaveola,Coereba flaveola,UCR,NA,,F,Immature,NA,10.2,3.1,3.5,,AC,
Coereba flaveola_3,Coereba flaveola,Coereba flaveola,Field sample,A17277,CATIE mist-netting stations,U,,NA,10.6,3.2,3.6,,AMS,
Coereba flaveola_30,Coereba flaveola,Coereba flaveola,UCR,NA,,F,,NA,9.9,2.8,3.5,,AC,
Coereba flaveola_31,Coereba flaveola,Coereba flaveola,UCR,NA,,F,,NA,10.5,3.6,3.9,,AC,
Coereba flaveola_32,Coereba flaveola,Coereba flaveola,UCR,NA,,M,,NA,9.9,5.5,4.1,,AC,
Coereba flaveola_33,Coereba flaveola,Coereba flaveola,UCR,NA,,M,,NA,9.6,3,3.7,,AC,
Coereba flaveola_34,Coereba flaveola,Coereba flaveola,ZFMK,1952-303,NA,M,,14.3,NA,NA,NA,,LN,
Coereba flaveola_35,Coereba flaveola,Coereba flaveola,ZFMK,1955-842,NA,M,,14.8,NA,NA,NA,,DH,
Coereba flaveola_36,Coereba flaveola,Coereba flaveola,ZFMK,1956-78,NA,M,,13.2,NA,NA,NA,,LN,
Coereba flaveola_37,Coereba flaveola,Coereba flaveola,ZFMK,1956-942,NA,F,,12.7,NA,NA,NA,,LN,
Coereba flaveola_38,Coereba flaveola,Coereba flaveola,ZFMK,1960-1256,NA,F,,14.5,NA,NA,NA,,LN,
Coereba flaveola_39,Coereba flaveola,Coereba flaveola,NHMD,10,Magens Pedersen,F,,12.8,NA,NA,NA,,DH,
Coereba flaveola_4,Coereba flaveola,Coereba flaveola,CBF,704,,M,,NA,NA,NA,4.3,,FAMC,
Coereba flaveola_40,Coereba flaveola,Coereba flaveola,NHMD,11,Magens Pedersen,M,,13.8,NA,NA,NA,,DH,
Coereba flaveola_41,Coereba flaveola,Coereba flaveola,Field sample,A00640,,U,,15,9.8,3.2,3.6,,MJ,
Coereba flaveola_42,Coereba flaveola,Coereba flaveola,Field sample,A01355,,U,,14.5,10.6,3.3,3.7,,ML,
Coereba flaveola_43,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Inmature,14.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_44,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Undetermined,13.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_45,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Undetermined,13.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_46,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Undetermined,15.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_47,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,,13.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_48,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,,11.7,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_49,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_5,Coereba flaveola,Coereba flaveola,CBF,1635,,F,,NA,NA,NA,4.4,,FAMC,
Coereba flaveola_50,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_51,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_52,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Inmature,12.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_53,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_54,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_55,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_56,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_57,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_58,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_59,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Inmature,15.8,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_6,Coereba flaveola,Coereba flaveola,CBF,2904,,F,,NA,NA,NA,4,,FAMC,
Coereba flaveola_60,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_61,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_62,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_63,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_64,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.9,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_65,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.1,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_66,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,12.5,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_67,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Inmature,14.3,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_68,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,14,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_69,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,12.6,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_7,Coereba flaveola,Coereba flaveola,CBF,3508,,U,,NA,NA,NA,4.3,,FAMC,
Coereba flaveola_70,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Inmature,NA,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_71,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,11.2,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
Coereba flaveola_72,Coereba flaveola,Coereba flaveola,Field sample,NA,,U,Adult,13.4,NA,NA,NA,,LJCS,Cardona-Salazar et al. 2020
